Drink Sales,Food Sales
coffee,donut
coffee,donut
coffee,donut
coffee,donut
water,fruit
tea,donut
coffee,donut
tea,fruit
coffee,donut
water,muffin
water,donut
coffee,fruit
tea,donut
coffee,donut
coffee,donut
water,donut
tea,muffin
tea,fruit
tea,donut
tea,donut
coffee,fruit
coffee,fruit
coffee,fruit
water,donut
tea,donut
coffee,donut
coffee,muffin
water,muffin
tea,muffin
coffee,fruit
coffee,donut
coffee,donut
coffee,muffin
water,muffin
tea,donut
coffee,donut
water,fruit
coffee,fruit
coffee,muffin
tea,muffin
water,donut
coffee,muffin
coffee,muffin
coffee,muffin
coffee,donut
tea,donut
coffee,donut
tea,fruit
coffee,donut
water,donut
tea,fruit
coffee,donut
coffee,fruit
coffee,donut
tea,fruit
tea,muffin
water,donut
water,donut
coffee,donut
coffee,fruit
water,muffin
coffee,muffin
coffee,donut
coffee,fruit
coffee,fruit
coffee,muffin
water,donut
water,fruit
water,fruit
coffee,donut
coffee,donut
coffee,muffin
tea,muffin
tea,fruit
tea,fruit
coffee,donut
coffee,donut
water,donut
tea,fruit
coffee,fruit
water,donut
water,donut
tea,donut
coffee,donut
coffee,donut
tea,donut
coffee,fruit
tea,donut
tea,muffin
coffee,donut
tea,donut
coffee,fruit
tea,donut
water,donut
coffee,donut
coffee,muffin
coffee,fruit
tea,donut
coffee,donut
tea,fruit
coffee,fruit
water,donut
water,muffin
coffee,fruit
coffee,muffin
coffee,muffin
water,donut
coffee,fruit
water,donut
coffee,donut
coffee,donut
tea,muffin
tea,donut
coffee,fruit
water,donut
coffee,donut
tea,fruit
tea,donut
coffee,donut
coffee,fruit
water,fruit
water,donut
coffee,fruit
coffee,fruit
coffee,fruit
coffee,donut
coffee,fruit
tea,donut
coffee,muffin
coffee,donut
coffee,donut
coffee,donut
water,donut
coffee,muffin
coffee,muffin
water,donut
coffee,fruit
coffee,fruit
coffee,donut
coffee,donut
tea,donut
coffee,fruit
coffee,muffin
coffee,donut
water,donut
coffee,donut
water,donut
water,fruit
tea,donut
coffee,muffin
coffee,muffin
coffee,donut
coffee,donut
coffee,muffin
tea,fruit
coffee,donut
coffee,muffin
coffee,muffin
water,muffin
coffee,fruit
coffee,donut
coffee,donut
tea,donut
water,donut
tea,donut
water,donut
tea,donut
coffee,donut
coffee,muffin
water,donut
tea,fruit
water,donut
coffee,fruit
coffee,donut
coffee,donut
coffee,donut
coffee,fruit
coffee,donut
water,fruit
tea,donut
water,muffin
coffee,muffin
water,fruit
coffee,donut
coffee,muffin
tea,donut
coffee,muffin
water,donut
water,muffin
coffee,fruit
tea,muffin
tea,donut
water,donut
coffee,fruit
coffee,fruit
coffee,muffin
coffee,fruit
coffee,donut
coffee,donut
tea,donut
coffee,donut
water,fruit
water,donut
coffee,muffin
coffee,donut
coffee,fruit
tea,fruit
water,donut
coffee,donut
coffee,donut
water,muffin
water,donut
coffee,donut
coffee,muffin
coffee,donut
coffee,donut
water,muffin
water,donut
coffee,fruit
coffee,donut
coffee,donut
water,donut
coffee,fruit
coffee,donut
coffee,muffin
coffee,donut
tea,donut
water,donut
coffee,muffin
tea,muffin
water,donut
coffee,donut
coffee,fruit
coffee,fruit
tea,fruit
coffee,donut
coffee,muffin
coffee,donut
water,fruit
coffee,fruit
coffee,fruit
water,muffin
coffee,donut
coffee,donut
coffee,fruit
tea,fruit
water,fruit
coffee,donut
coffee,muffin
coffee,donut
coffee,donut
coffee,donut
water,donut
coffee,fruit
tea,donut
water,donut
coffee,muffin
water,donut
coffee,donut
coffee,donut
water,donut
coffee,donut
coffee,fruit
water,donut
coffee,donut
tea,donut
coffee,fruit
water,donut
coffee,fruit
coffee,donut
coffee,muffin
tea,muffin
coffee,muffin
water,fruit
coffee,muffin
coffee,fruit
coffee,muffin
coffee,donut
coffee,fruit
water,muffin
coffee,donut
coffee,fruit
water,donut
tea,muffin
tea,fruit
water,muffin
water,donut
water,fruit
tea,donut
water,donut
coffee,donut
water,donut
water,fruit
coffee,muffin
coffee,fruit
coffee,muffin
water,fruit
coffee,donut
water,fruit
tea,donut
coffee,donut
tea,donut
tea,fruit
tea,muffin
coffee,donut
water,fruit
tea,donut
coffee,muffin
tea,donut
coffee,muffin
coffee,fruit
coffee,fruit
coffee,fruit
tea,fruit
coffee,fruit
tea,muffin
water,muffin
water,donut
coffee,donut
coffee,donut
water,fruit
tea,donut
coffee,donut
tea,fruit
coffee,fruit
coffee,muffin
water,donut
tea,donut
water,donut
coffee,muffin
tea,muffin
coffee,donut
coffee,donut
coffee,fruit
coffee,muffin
tea,fruit
tea,donut
coffee,donut
coffee,donut
coffee,donut
coffee,muffin
water,donut
water,donut
water,donut
coffee,muffin
coffee,donut
coffee,donut
coffee,donut
coffee,muffin
water,donut
coffee,donut
coffee,donut
coffee,donut
coffee,donut
coffee,muffin
coffee,donut
tea,donut
coffee,muffin
coffee,muffin
water,donut
coffee,donut
water,donut
coffee,muffin
water,muffin
tea,muffin
tea,donut
coffee,fruit
coffee,muffin
water,donut
coffee,muffin
coffee,donut
tea,fruit
coffee,donut
tea,donut
coffee,muffin
water,muffin
coffee,fruit
water,muffin
coffee,donut
coffee,donut
coffee,donut
tea,fruit
tea,muffin
coffee,donut
water,donut
tea,donut
water,donut
tea,donut
water,donut
water,donut
tea,fruit
coffee,donut
coffee,donut
coffee,fruit
coffee,donut
tea,donut
coffee,donut
coffee,donut
tea,muffin
tea,muffin
coffee,donut
tea,fruit
water,muffin
coffee,donut
coffee,fruit
coffee,muffin
coffee,muffin
coffee,muffin
water,donut
water,donut
water,donut
water,donut
coffee,donut
coffee,donut
coffee,muffin
coffee,muffin
water,donut
tea,muffin
coffee,muffin
coffee,donut
coffee,donut
coffee,donut
water,donut
water,donut
tea,muffin
tea,donut
coffee,muffin
coffee,donut
coffee,donut
coffee,donut
coffee,muffin
coffee,muffin
coffee,fruit
water,donut
coffee,muffin
water,donut
water,donut
water,muffin
tea,donut
coffee,fruit
coffee,donut
water,donut
coffee,muffin
coffee,fruit
coffee,fruit
water,fruit
coffee,fruit
coffee,donut
tea,donut
coffee,donut
coffee,fruit
coffee,donut
tea,muffin
coffee,donut
coffee,donut
water,muffin
coffee,muffin
water,donut
tea,donut
coffee,donut
tea,donut
tea,muffin
coffee,donut
coffee,donut
coffee,muffin
water,muffin
coffee,donut
tea,donut
coffee,donut
tea,muffin
coffee,donut
coffee,donut
coffee,donut
coffee,donut
water,fruit
tea,fruit
water,donut
coffee,donut
coffee,donut
coffee,donut
coffee,muffin
coffee,fruit
coffee,donut
water,muffin
water,donut
tea,donut
water,muffin
coffee,donut
coffee,muffin
coffee,donut
coffee,donut
coffee,fruit
coffee,donut
coffee,donut
coffee,donut
coffee,donut
water,donut
tea,muffin
tea,fruit
coffee,donut
coffee,donut
water,donut
water,muffin
coffee,donut
water,donut
coffee,donut
tea,donut
coffee,donut
coffee,muffin
coffee,fruit
tea,fruit
coffee,donut
coffee,donut
tea,fruit
coffee,muffin
coffee,donut
water,fruit
coffee,muffin
coffee,donut
water,donut
coffee,fruit
tea,fruit
tea,fruit
tea,donut
water,donut
coffee,donut
water,donut
coffee,donut
tea,donut
coffee,donut
coffee,donut
coffee,donut
tea,donut
coffee,donut
coffee,fruit
tea,donut
coffee,muffin
tea,muffin
coffee,donut
tea,fruit
water,donut
coffee,donut
water,muffin
water,muffin
water,muffin
coffee,muffin
coffee,donut
coffee,donut
tea,donut
coffee,donut
coffee,donut
water,fruit
coffee,donut
coffee,muffin
tea,donut
coffee,donut
water,muffin
coffee,fruit
tea,donut
coffee,donut
coffee,muffin
coffee,donut
water,donut
tea,fruit
coffee,fruit
coffee,fruit
coffee,muffin
water,donut
coffee,donut
coffee,donut
tea,muffin
tea,donut
coffee,donut
coffee,muffin
coffee,donut
tea,donut
coffee,donut
water,fruit
tea,donut
coffee,donut
tea,fruit
water,donut
coffee,donut
coffee,donut
coffee,donut
water,donut
water,donut
water,donut
coffee,donut
water,muffin
coffee,donut
tea,muffin
water,donut
coffee,donut
coffee,fruit
coffee,donut
coffee,donut
coffee,donut
coffee,donut
coffee,donut
water,fruit
coffee,donut
tea,muffin
coffee,donut
coffee,donut
tea,donut
tea,donut
tea,donut
tea,donut
coffee,donut
water,donut
coffee,donut
coffee,donut
coffee,donut
water,muffin
water,fruit
water,donut
coffee,muffin
coffee,donut
coffee,donut
coffee,muffin
water,fruit
coffee,donut
tea,donut
water,fruit
tea,fruit
coffee,fruit
coffee,muffin
tea,donut
coffee,donut
water,donut
coffee,donut
coffee,muffin
coffee,donut
tea,donut
tea,donut
water,donut
tea,fruit
coffee,donut
coffee,donut
water,donut
coffee,fruit
coffee,fruit
coffee,donut
coffee,donut
coffee,donut
water,donut
tea,fruit
coffee,muffin
coffee,fruit
coffee,muffin
water,fruit
tea,donut
tea,donut
tea,muffin
coffee,fruit
coffee,donut
coffee,muffin
coffee,fruit
water,donut
coffee,donut
coffee,donut
coffee,donut
water,fruit
coffee,donut
water,donut
water,donut
water,donut
coffee,donut
tea,donut
coffee,donut
coffee,donut
coffee,muffin
coffee,donut
tea,donut
water,muffin
coffee,fruit
water,muffin
coffee,muffin
coffee,muffin
coffee,donut
tea,donut
coffee,muffin
water,muffin
tea,donut
coffee,muffin
tea,fruit
water,fruit
coffee,donut
coffee,muffin
coffee,fruit
coffee,donut
water,donut
coffee,donut
tea,muffin
tea,donut
tea,fruit
coffee,donut
water,donut
tea,muffin
coffee,fruit
water,donut
water,fruit
tea,donut
water,donut
tea,fruit
tea,muffin
coffee,donut
tea,donut
coffee,donut
coffee,donut
coffee,fruit
water,donut
water,donut
tea,donut
coffee,fruit
coffee,fruit
coffee,donut
coffee,muffin
coffee,donut
coffee,donut
coffee,donut
tea,donut
water,donut
water,muffin
water,muffin
coffee,donut
coffee,muffin
water,donut
water,donut
water,muffin
coffee,donut
coffee,fruit
coffee,donut
coffee,donut
tea,donut
tea,donut
coffee,donut
tea,muffin
coffee,donut
coffee,donut
coffee,donut
coffee,donut
coffee,muffin
tea,donut
coffee,muffin
coffee,donut
coffee,donut
coffee,fruit
tea,donut
water,donut
coffee,fruit
water,fruit
tea,muffin
coffee,fruit
coffee,fruit
coffee,muffin
coffee,donut
tea,muffin
tea,muffin
coffee,fruit
water,donut
coffee,donut
tea,donut
water,donut
coffee,donut
tea,muffin
water,donut
coffee,muffin
tea,donut
tea,muffin
coffee,muffin
coffee,donut
coffee,fruit
tea,fruit
water,fruit
coffee,muffin
coffee,donut
coffee,donut
coffee,muffin
coffee,donut
coffee,muffin
coffee,muffin
coffee,fruit
coffee,donut
water,donut
coffee,donut
water,fruit
tea,muffin
coffee,donut
tea,donut
tea,donut
coffee,donut
coffee,muffin
coffee,donut
coffee,muffin
tea,fruit
coffee,donut
tea,donut
coffee,donut
tea,donut
coffee,muffin
coffee,donut
water,muffin
coffee,donut
coffee,fruit
coffee,donut
tea,muffin
coffee,donut
water,donut
coffee,donut
coffee,donut
water,donut
coffee,donut
coffee,donut
coffee,fruit
water,donut
coffee,fruit
coffee,fruit
coffee,donut
coffee,donut
coffee,donut
coffee,donut
tea,muffin
coffee,donut
coffee,muffin
water,muffin
water,fruit
tea,donut
coffee,fruit
tea,donut
water,muffin
coffee,fruit
tea,donut
coffee,muffin
tea,donut
tea,donut
tea,donut
coffee,donut
water,muffin
tea,fruit
water,donut
tea,donut
water,fruit
water,donut
coffee,donut
water,donut
tea,muffin
water,fruit
coffee,fruit
coffee,muffin
coffee,fruit
coffee,donut
coffee,donut
water,fruit
tea,donut
coffee,muffin
coffee,donut
coffee,donut
coffee,fruit
tea,muffin
coffee,fruit
coffee,fruit
coffee,donut
coffee,fruit
coffee,muffin
coffee,donut
water,donut
tea,muffin
tea,donut
tea,fruit
water,donut
coffee,muffin
coffee,donut
coffee,donut
coffee,fruit
tea,muffin
tea,donut
coffee,donut
coffee,donut
coffee,donut
tea,donut
water,donut
tea,donut
coffee,donut
coffee,muffin
coffee,fruit
tea,muffin
tea,fruit
water,donut
coffee,donut
coffee,fruit
coffee,fruit
coffee,donut
tea,muffin
coffee,donut
coffee,muffin
coffee,fruit
tea,fruit
water,donut
tea,donut
coffee,fruit
coffee,donut
tea,donut
coffee,fruit
water,donut
water,donut
coffee,muffin
coffee,donut
coffee,donut
coffee,fruit
tea,donut
coffee,donut
coffee,donut
coffee,donut
water,donut
coffee,donut
coffee,muffin
tea,donut
coffee,donut
coffee,donut
coffee,donut
tea,donut
coffee,donut
tea,fruit
coffee,fruit
water,donut
water,donut
tea,fruit
coffee,muffin
coffee,donut
water,donut
coffee,donut
coffee,donut
water,fruit
water,donut
water,muffin
tea,muffin
coffee,muffin
coffee,donut
tea,fruit
coffee,donut
coffee,muffin
coffee,muffin
water,donut
water,muffin
coffee,donut
water,donut
coffee,donut
tea,donut
coffee,fruit
coffee,donut
tea,donut
coffee,fruit
water,donut
coffee,donut
coffee,fruit
tea,donut
coffee,donut
coffee,muffin
coffee,fruit
tea,donut
coffee,donut
coffee,fruit
tea,muffin
coffee,muffin
coffee,donut
tea,donut
water,muffin
coffee,muffin
water,muffin
coffee,fruit
coffee,fruit
coffee,donut
coffee,fruit
water,muffin
water,fruit
coffee,donut
coffee,donut
coffee,donut
tea,donut
coffee,donut
water,fruit
coffee,muffin
coffee,muffin
tea,donut
coffee,donut
coffee,muffin
coffee,donut
tea,donut
tea,donut
water,muffin
coffee,donut
coffee,donut
coffee,muffin
tea,donut
water,fruit
coffee,donut
coffee,donut
water,donut
water,donut
tea,donut
coffee,fruit
water,muffin
coffee,donut
coffee,donut
tea,donut
coffee,fruit
coffee,fruit
tea,muffin
coffee,muffin
coffee,fruit
tea,donut
water,donut
coffee,donut
coffee,fruit
coffee,donut
coffee,donut
water,fruit
coffee,fruit
water,donut
coffee,donut
tea,fruit
water,muffin
coffee,donut
water,fruit
coffee,donut
coffee,donut
coffee,donut
coffee,donut
coffee,donut
tea,donut
coffee,donut
tea,fruit
coffee,donut
tea,muffin
water,donut
tea,donut
coffee,muffin
tea,donut
tea,donut
water,donut
coffee,donut
water,donut
coffee,muffin
tea,fruit
tea,donut
coffee,donut
coffee,donut
water,fruit
coffee,donut
coffee,donut
water,muffin
tea,donut
water,muffin
coffee,donut
tea,donut
coffee,donut
coffee,muffin
coffee,donut
coffee,muffin
coffee,donut
water,muffin
tea,donut
coffee,donut
coffee,donut
coffee,donut
tea,donut
water,donut
coffee,muffin
coffee,donut
tea,muffin
coffee,donut
coffee,donut
coffee,donut
coffee,donut
water,donut
water,donut
water,donut
coffee,donut
coffee,muffin
tea,muffin
water,donut
tea,donut
coffee,donut
coffee,muffin
coffee,muffin
tea,donut
tea,fruit
coffee,fruit
water,donut
coffee,muffin
coffee,donut
coffee,donut
tea,donut
tea,donut
coffee,donut
water,donut
coffee,donut
coffee,fruit
water,donut
water,donut
coffee,donut
coffee,donut
water,donut
coffee,donut
tea,donut
coffee,fruit
coffee,donut
tea,donut
coffee,muffin
water,muffin
coffee,fruit
coffee,donut
coffee,fruit
coffee,donut
coffee,donut
coffee,donut
tea,donut
coffee,fruit
tea,donut
coffee,donut
coffee,donut
coffee,fruit
coffee,donut
water,donut
coffee,donut
coffee,donut
water,donut
coffee,donut
coffee,donut
tea,muffin
water,fruit
coffee,donut
water,donut
water,fruit
coffee,donut
tea,donut
coffee,donut
water,donut
coffee,donut
coffee,donut
coffee,donut
water,muffin
coffee,fruit
coffee,donut
tea,donut
coffee,donut
tea,donut
tea,donut
tea,fruit
water,donut
tea,fruit
coffee,donut
coffee,donut
water,donut
coffee,donut
coffee,muffin
coffee,fruit
tea,donut
water,muffin
coffee,donut
water,muffin
coffee,fruit
coffee,donut
coffee,donut
coffee,muffin
coffee,donut
coffee,donut
tea,donut
coffee,donut
coffee,fruit
coffee,muffin
water,donut
coffee,donut
coffee,fruit
water,fruit
coffee,donut
coffee,donut
coffee,donut
water,donut
coffee,fruit
water,donut
water,donut
coffee,donut
water,muffin
coffee,donut
water,fruit
coffee,muffin
tea,muffin
coffee,muffin
tea,donut
coffee,muffin
coffee,donut
coffee,donut
tea,muffin
tea,donut
coffee,donut
coffee,muffin
coffee,donut
